Name,Category,Public ID,Weight,Price,Fat,Protein,Carbs,KCal
Напиток безалкогольный Из Черноголовки Кола газированный,Discounts and promos,14b22025-fe0e-43d4-a4fb-48016d696aeb,2 l,150,0,0,10.5,45
Сыр Брест-Литовск Классический нарезка 45%,Discounts and promos,6d628998-e49c-423e-8b41-8b6796a9035d,150 g,185,0,0,0,340
"Сыр творожный Hochland сливочный 60%, 220 г",Discounts and promos,19e55df8-39bc-46f2-bf2f-afee7a07ef84,220 g,170,22.2,6.1,3.5,238
Сок Сады Придонья зелёное яблоко осветленный восстановленный,Discounts and promos,8d7aff14-7503-4690-bc44-64c992615d11,1 l,125,0,0,11.5,46
Картофельные чипсы Lay's со вкусом Сырного ассорти с мёдом,Discounts and promos,c5e3ded7-5af5-40f4-b9ca-a5dd31c04d3c,90 g,130,31,6,53,520
"Сок Сады Придонья яблоко, вишня",Discounts and promos,5dd49f6c-9541-4ccb-bbd5-1cc95bb2ba4a,1 l,120,0,0,11.5,46
Напиток Cool Cola Zero сильногазированный,Discounts and promos,409abfc1-297d-428c-b983-1ec2141dd908,1.5 l,125,0,0,0,0.2
Кетчуп Heinz Томатный,Discounts and promos,fba1e53a-8332-4e43-b9a9-8dbad935fbb1,320 g,160,0.1,1,25,110
Картофельные чипсы Lay's рифленые со вкусом Пряной креветки 90г,Discounts and promos,5d3cf212-d970-4388-9697-ab61099733bd,90 g,130,31,6.5,53,530
Напиток сильногазированный Cool Cola безалкогольный,Discounts and promos,33757da2-86bc-42e3-b6e3-f97165dacfb3,1.5 l,125,0,0,11,45
Сок Сады Придонья Мультифрукт,Discounts and promos,f8401e0b-3fd4-4807-b01b-52a39145e391,1 l,120,0,0,11.5,46
Булочка Bagerstat для хот-дога,Discounts and promos,3f5b497b-d20f-427a-ab76-b70fe62d02b6,240 g,160,3,7,50,260
"Шоколад молочный Milka, 85г",Discounts and promos,16928735-df30-4dd6-9b60-d45a8c95554f,85 g,150,30,5.8,59,537
Абрикосы,Discounts and promos,57466b98-bb97-42cb-998e-9e33ecd82eb3,100 g,32,0.4,1.4,11,48
Колбаса Папа может! Мясная варёная,Discounts and promos,748b38ca-0081-4b5c-b4e5-cc51c0f08481,500 g,270,14,8,0,158
Чипсы картофельные Lay's Гуакамоле по-мексикански,Discounts and promos,4d88da8b-107b-4684-b632-9f45c84b8904,125 g,190,31,6,53,520
"Масло подсолнечное Altero Golden с добавлением оливкового, рафинированное",Discounts and promos,ae0d9d44-7717-40df-ba11-7befae81dd43,810 ml,170,99.9,0,0,899
"Молоко питьевое пастеризованное 2.5% ПЭТ Зелёная Линия, 900мл",Discounts and promos,617dc51d-243d-4460-844a-33719d11ca63,900 ml,74,2.5,3,4.7,53
Лимонад Черноголовка Оригинальный сильногазированный,Discounts and promos,579880fe-0121-46a8-a876-827a0a8ad57f,2 l,145,0,0,4.5,20
"Мороженое-эскимо, Milka, 62 г, Россия, БЗМЖ",Discounts and promos,069b280d-0043-4bf2-b080-85fa176b8381,62 g,130,22,3.2,36,355
Салатная смесь Выгодно айсберг и романо свежая резаная,Discounts and promos,da893496-2243-48ec-806f-4872987a4860,200 g,130,0.2,1.5,2.3,17
"Кукурузные снеки Cheetos/Читос ""Сыр"" 50г",Discounts and promos,92f9ecf0-2cea-4fc1-90c0-7018f3c564b1,50 g,66,22,7,62,470
Шоколадный батончик Picnic Big,Discounts and promos,c2c874b8-b4a9-4e6a-9d3c-73ac923085f6,76 g,90,25.1,7.6,59,504
Чеснок ранний,Discounts and promos,abdfceaa-1e22-4621-ad58-fbafc30fd5e3,100 g,39,0.5,6.5,29.9,143
"Молоко безлактозное Parmalat Comfort 0,05%",Discounts and promos,fc85fb2d-d84d-45f3-b5aa-054b1ac41d0f,1 l,140,0.05,3.2,4.7,32
Сыр полутвердый Брест-Литовск Монастырский 45%,Discounts and promos,f2792d70-493a-4293-aff6-a1af34c02f11,200 g,165,0,24.7,25.5,324
Творог взбитый Чудо Клубника-Земляника 4% 100г,Discounts and promos,38a9da9f-aade-462e-91a4-743ff3151b6e,100 g,63,4,4.5,18.8,128
Булочка с маком в темном шоколаде,Discounts and promos,a776a031-dcb0-4011-b3b3-95850df3c710,150 g,70,12,5,38,280
Маслины без косточки Bonduelle,Discounts and promos,2e78a69b-ed81-442a-b5e7-2aecc96b63c9,314 ml,240,10.9,0.8,6.3,115
"Салями cырокопчёная Итальянская Останкино, нарезка",Discounts and promos,1e587d20-701e-4eda-b0de-fa22b86f85f7,150 g,240,50,16,0.1,414
Наггетсы куриные Мираторг Классические,Discounts and promos,e5099e14-3932-4e91-85a9-0fef385ea1a0,300 g,200,9,12.6,12.6,204.3
Чебупицца Горячая штучка Курочка по-итальянски,Discounts and promos,a1d988bd-a301-4ab1-a287-9dce9bc8793c,250 g,220,10,12,21,220
Сыр Брест-Литовск Сливочный 50%,Discounts and promos,476c9191-9d9d-4e85-a5a3-ed613796d4e9,200 g,210,0,29.5,22.5,355
Хотстеры Горячая штучка Сосиски в тесте,Discounts and promos,808e056f-fe7d-4a20-b91b-49344824d6ca,250 g,230,13,8,19,230
Фарш свино-говяжий Мираторг Домашний охлажденный,Discounts and promos,a3368dd0-dc29-4e88-8ef4-abeafef061be,400 g,230,27,13,3.5,295
Кукурузные снеки Cheetos/Читос Кетчуп 50г,Discounts and promos,19b8cc93-f197-4989-a6cf-6da680a39867,50 g,66,23,7.5,63,490
Сосиски Клинский Клинские,Discounts and promos,4d925261-ec74-4d40-9b15-b7fd5cb83e47,460 g,400,25,8,2,270
Напиток сильногазированный Street безалкогольный,Discounts and promos,cc23b47c-99d1-403c-87ed-72bbff79a3c4,1.5 l,130,0,0,4.8,20
Колбаски Мираторг из мраморной говядины Чевапчичи охлажденные,Discounts and promos,d31983da-d277-43aa-a7ad-ecc786fd52c0,300 g,230,27,15,5,320
"Форель стейк, Россия",Discounts and promos,ad38eeea-4ad6-4614-aa20-a377aa5d27bc,250 g,400,6,22,0,148
Творог взбитый Чудо Вишня-Черешня 4% 100г,Discounts and promos,70b97724-9d72-4efb-8c8e-2232a44026f8,100 g,63,4,4.5,19.8,133
Сосиски из грудки индейки и говядины из мяса птицы 1 сорт Зелёная Линия,Discounts and promos,0bfe66e0-5761-41ad-835d-fa2ac2fc7d25,240 g,300,7,16,3,130
Смесь овощная Мексиканская Маркет Перекрёсток быстрозамороженная,Discounts and promos,e94ba0cc-28fa-4e8a-8045-b202b52ed440,400 g,140,0.2,2,6.5,35.5
Масло подсолнечное Золотая семечка рафинированное,Discounts and promos,d66d4578-6725-4c28-9225-dd868bf6ca47,500 ml,76,99.99,0,0,899
Семечки подсолнечные отборные От Мартина полосатые с солью,Discounts and promos,2c1e7635-24c7-4a04-b3e2-0f9ddf78bf62,150 g,135,49.6,22.8,19.5,570
"Сыр Лёгкий Брест-Литовск, 35%, кусок",Discounts and promos,ec033022-ea5c-4164-b487-a5eef1c61f9c,200 g,240,18.2,31.2,0,288.6
Черешня,Discounts and promos,91da0c61-f3f9-4ddf-97a7-3e6f68287877,200 g,160,0.4,1.1,10.6,52
Вермишель Домшим фунчоза,Discounts and promos,ed6d76f3-44b1-4e66-984e-2ba25de0bd9f,200 g,140,0.1,15,83,340
Сыр Ламбер полутвердый 50%,Discounts and promos,8b6545f5-c06b-4cca-9a24-8e7066739ed8,400 g,520,30,23.8,0,365
Сок Добрый яблоко,Discounts and promos,e8784f42-c50d-48b1-9df7-cc7b9d5f37d5,1 l,170,0,0,10.5,42
Картофель сладкий Батат вес,Discounts and promos,60afa571-5a84-4709-a37a-9330a2b5aac7,600 g,216,0.1,2,13.3,60
"Напиток Coca Cola Classic со вкусом колы безалкогольный газированный стеклянная бутылка, 330мл",Discounts and promos,7bcec2e3-477f-4594-9b07-62d4a3cfa45b,330 ml,175,0,0,10.6,41.1
Йогурт греческий TEOS вишня 2%,Discounts and promos,f36373bf-cc13-42f6-803a-3beab59d918e,140 g,56,2,7,11.3,91.2
"Карпаччо из птицы Маркет сырокопчёное сорт Экстра, 200г",Discounts and promos,30ccd90d-b72d-4b99-9845-eb5e563f3711,200 g,220,3,17,3,107
БЗМЖ Мороженое 48 копеек Шоколадная Прага,Discounts and promos,0872e1c2-02b7-4ded-aefc-52d165a642fb,432 g,580,9,3.5,27,200
Сыр Моцарелла Galbani 45%,Discounts and promos,5e00b8bb-44f2-480b-b721-f4aabf143a6e,125 g,190,17,16.5,3,231
Йогурт греческий Teos Черника 2%,Discounts and promos,dedd3e4a-85a2-434f-aad7-8f7db78776e2,140 g,54,2,5.8,11.3,86.4
Майонез Я люблю готовить Классический провансаль 67%,Discounts and promos,fe205b03-440f-4c02-aa07-d42ee2cb623c,672 g,190,67,0.5,3.2,620
Творог взбитый Чудо Ежевика-Малина 4.2% 100г,Discounts and promos,59c20fdd-c16d-4e50-89fe-72f2d19fdf21,100 g,63,4.2,4.3,17.5,125
Напиток Volt Energy Голубика-Гранат энергетический газированный,Discounts and promos,97fc3ec7-f829-446d-9c2f-2642027feb91,450 ml,90,0,0,11,45
"Филе грудки индейки Пава-Пава Премиум, охлажденное",Discounts and promos,c8d4b4af-c6e8-487f-abdd-151e64f76e33,500 g,350,1.5,24,0,110
"Сыр полутвёрдый Пармезан молодой 40% Зелёная Линия,",Discounts and promos,5af4053c-ece7-4c19-91b4-f0d8b8425209,260 g,286,0,0,0,358
Нектар Добрый Ананасовый,Discounts and promos,455d20ba-a522-4e34-ba7f-ed55fced2d2f,1 l,170,0,0,12,48
"Сок Сады Придонья яблоко, персик восстановленный",Discounts and promos,f7eaf1ab-3604-4050-875d-2fd01027fd8f,1 l,120,0.01,0.01,11.5,46
Напиток сильногазированный Добрый Апельсин,Discounts and promos,5d3e7fdb-a3ea-4597-980c-d379e10a544b,1.5 l,160,0,0,8,32
Сыр Тильзитский 45%,Discounts and promos,fe3f7982-f8e4-4896-9ce0-102488150766,400 g,280,24.7,24.8,0,322
Булочка Bagerstat для бургера с кунжутом,Discounts and promos,01777d36-6ced-407f-a083-1417aa3f0286,168 g,115,3.5,7,50,260
Чипсы картофельные Lay's Сметана-Лук 225г,Discounts and promos,4eda4443-0cde-42a1-9736-bff322564efe,225 g,250,30,6,53,510
"Сыр Parmesan Dolce Granto 40%, тёртый",Discounts and promos,706fcbbf-aa13-4b83-a4cf-861c8e70b4ee,150 g,300,0,28,30,372
Напиток кофейный MacCoffee Original растворимый 3в1,Discounts and promos,94f3c652-a82a-4204-b452-074e4575d3fe,20 g,18,8,3,86,420
"Сыр творожный Hochland с зеленью 60%, 220 г",Discounts and promos,49c68914-b729-48a9-a769-25f7c44ba165,220 g,185,21.1,6.1,3.7,229
"Бургер Мираторг из говядины охлажденный, выращено в Брянской области",Discounts and promos,c8ee9432-0d51-43a4-804e-3e90b4b9041c,200 g,163,0,0,0,360
Сок Сады Придонья Яблоко прямого отжима,Discounts and promos,02b34a41-ef68-4679-bd3f-bfb3e5d6b76c,1 l,120,0,0,11,44
"Рис круглозёрный Кубань Мистраль белый, 5х80г",Discounts and promos,0dd7a3e0-270a-4e46-a0cd-5b91efb2baf2,400 g,125,0.2,5.6,81,349
Чай Lipton Персик 1.5л,Discounts and promos,3700a496-d7a6-4757-9f79-540d427cb297,1.5 l,185,0,0,5,20
Творог взбитый Чудо Груша-Персик 4.2% 100г,Discounts and promos,c462fea7-25cf-4a71-9e74-a49ab2dd5ed7,100 g,63,4.2,4.5,18.1,128
Дрожжи хлебопекарные Люкс экстра прессованные,Discounts and promos,b76185be-044e-497e-9a5f-1c45c85e5fb4,100 g,20,0.4,12,8.5,85
"Молоко ультрапастеризованное Эконива 3,2%",Discounts and promos,d1d6426c-2cf2-407a-87d7-1f04c25f45c8,1 l,100,3.2,3,4.7,60
"Квас Традиционный Зелёная Линия, 2л",Discounts and promos,98881631-091f-4f70-ada8-fe3981d2e4e8,2 l,190,0,0,8,32
Пюре ФрутоНяня яблок банан груша персик с 6 месяцев,Discounts and promos,540f3624-0a53-4048-8f58-1dac8fe68371,90 g,64,0,1,13.5,58
Чеснок Kotanyi измельченный,Discounts and promos,d2a581b0-a125-4c55-9228-31cea673ccf3,28 g,90,0.4,18,55,319
Конфеты ТМ Чио Рио,Discounts and promos,3177c51a-5722-4e89-84d7-d6464f252867,200 g,108,30,3.5,58,520
"Смородина черная быстрозамороженная Маркет, 300г",Discounts and promos,f4828f65-ea13-4371-a55b-749005596f64,300 g,220,0.4,1,7.3,36.8
Оливки Bonduelle без косточки ,Discounts and promos,a3b3d50f-8354-4cd0-93ba-0da7275d77a0,314 ml,250,18.1,1.4,5.1,160
"Чай Lipton Лимон 1,5л",Discounts and promos,b7b14b42-5901-49f7-99dc-653c53d0130e,1.5 l,185,0,0,6.9,30
"МАГГИ® Заправка для борща, 250 г",Discounts and promos,d3477547-2f70-4f31-8df7-bb7dc9a45a88,250 g,140,0.1,1.9,19,99
Напиток Черноголовка Мандарин газированный,Discounts and promos,832a78fd-f9f5-442a-9f13-d6b6611290d9,2 l,150,0,0,10,40
Макаронные изделия Шебекинские Спагетти №002 тонкие  ,Discounts and promos,e3f1e0ca-bba2-427e-8c5b-1b529abc938a,450 g,76,1.5,13,72,350
"NESCAFE 3в1 Latte стик, 18 г",Discounts and promos,1e78cd53-3a8b-4228-b059-9361b1527f4e,18 g,36,11,2.3,80,434
Горчица Маркет Французская 270г,Discounts and promos,194b8c86-a4c5-4862-8cf8-a3d41665f1c0,270 g,110,8.6,7.5,8.4,141
Колбаса варёно-копчёная Ближние горки Кремлевская,Discounts and promos,875af50d-2ae2-48e6-a91e-8813ad726583,400 g,560,32,9,0,340
Бекон сырокопчёный Маркет Перекрёсток,Discounts and promos,d9a4f80a-0b33-4927-9181-87f702b58378,150 g,175,55,8,0,527
"Конфеты Konti Золотая Лилия, вес",Discounts and promos,de927685-3973-4f39-b665-4d9c849f9158,300 g,180,28,3.5,60,500
Арахис в карамели Маркет Перекрёсток,Discounts and promos,08b2a7c7-c7dd-4d68-961b-cee9a4ec9b61,180 g,130,31,18,38,500
Сливки Домик в деревне 10% 480г,Discounts and promos,c94d12d9-138a-4458-b42d-d4fc57022d56,480 ml,155,10,2.6,4.3,118
Карамель XXL Trio ТМ Chupa Chups (Чупа Чупс),Discounts and promos,c4d39e81-f42b-4b3e-9a5c-319865bde8df,29 g,40,0,0,91,370
Чай черный Greenfield Spring Melody,Discounts and promos,9e489e88-59f0-485e-9812-54d9eae64107,37 g,120,0,0,0,0
Авокадо Хасс,Discounts and promos,3a1c601c-df61-456e-b3b9-56071da26a6b,700 g,510,15,2,9,160
Напиток энергетический Lit Energy Blueberry,Discounts and promos,7e4b3bc2-a91b-4e86-842e-5c76af7923dd,450 ml,130,0,0,13.5,55
"Палочки кукурузные ФрутоНяня яблоко, банан",Discounts and promos,bb6e3f71-aa83-4070-96c5-a9918f4b9a73,20 g,60,1,6,78,345
Сыр Адыгейский Гиагинский молзавод 40%,Discounts and promos,c24a4f50-bada-49d1-b748-8eddd5650073,300 g,320,16,16,19,220
Сок Добрый Томатный 1 л,Discounts and promos,0fe9b7fe-e4d3-4e6b-b230-50b9996db795,1 l,170,0,0,2.5,10
Творог Простоквашино 9%,Discounts and promos,9b428ea3-bbc3-4eb5-bf85-c98405880e3a,180 g,115,9,16,3,157
"Творог Село Зелёное с сохранённой структурой зерна обезжиренный 0,5%",Discounts and promos,aa4ed195-ee25-4e5d-871f-a0bb3319a695,200 g,105,0.5,14,3.3,74
Жевательные конфеты Fruittella Кислый микс,Discounts and promos,22078e5c-7d34-4c21-b035-f55561a2c075,41 g,60,7,1,81,400
Картофельные чипсы Lay's Из печи со вкусом хамона 81г,Discounts and promos,54751c9d-1079-4f7f-bf0a-8f0d97a7a735,81 g,130,16,5,70,445
Чипсы картофельные Lay's Из печи Нежный сыр с зеленью 85г,Discounts and promos,0e36a06c-b275-491b-a8e5-d101cecc40e2,85 g,130,16,6,69,440
Вафля dr Gerard C-Moll в шоколаде с фундуком и какао-кремом ,Discounts and promos,3008ce8a-1abf-4b86-9772-196dee67a543,100 g,170,31,6.6,56,533
Масло подсолнечное Благо рафинированное,Discounts and promos,025e5ac7-a85f-4f5d-8f08-dc23c794fb37,1 l,140,99.9,0,0,899
Печенье-сэндвич Супер Контик шоколадный вкус,Discounts and promos,4b0a80df-cb1d-42e1-a167-487af2aaf762,100 g,48,25,5.5,61,490
Печенье Milka Choco Cookies с кусочками шоколада 168 г,Discounts and promos,51a4a91e-d84d-4f03-aa90-52d1953184b3,168 g,250,24,6.3,62,491
Творожное зерно в сливках 5% Простоквашино,Discounts and promos,46094be3-c701-4d19-9b47-1425670625c4,130 g,82,5,9,2.6,91
Крабовые палочки Снежный краб имитация Новый Океан,Discounts and promos,553569cc-6623-4105-868a-1ea95fabda17,200 g,150,0.2,9.8,13.7,95.8
"Эскалоп свиной категории А охлажденный Маркет, 400г",Discounts and promos,452a78df-1a5f-4b58-afe5-b7c8f320a559,400 g,250,7,21,0,147
"Йогурт Савушкин Продукт лесные ягоды, 2%",Discounts and promos,ce1ad979-fe9d-435f-9c6b-ddc1e6a6a4d2,120 g,30,2,2.9,14.5,87.6
Сыр творожный Violette сливочный 70%,Discounts and promos,0178b46e-e10b-4d6a-ac4f-f654ef1f2ca2,140 g,125,24.5,7,2.7,260
"Смесь салатная айсберг-романо-радиччио Маркет Fresh, 100г",Discounts and promos,ad072048-c119-4fcc-979b-1ba24fdaac55,100 g,100,0.2,1.5,2.3,17
"Попкорн солёный Маркет Перекрёсток, 100г",Discounts and promos,ab4fc2b0-178e-41d8-af87-895b1c67729d,100 g,60,27,6,48,460
Творожная масса Особая Ростагроэкспорт с сахаром и изюмом 23%,Discounts and promos,0e489359-9020-4f19-af30-65f146f3fd61,180 g,105,22.1,8.3,31.3,357
Макароны Шебекинские №202 Рожок полубублик,Discounts and promos,e3de7b73-a934-4c13-a98d-28d9e71ed032,450 g,78,0,2,75,350
Напиток сильногазированный Fancy безалкогольный,Discounts and promos,f4093646-fce4-4845-8057-2344cc46cb20,1.5 l,120,0,0,11,45
"NESCAFE 3в1 Cappuccino стик, 18 г",Discounts and promos,e6b86dd3-107f-4f20-a798-a7155f9873ed,18 g,36,10,2.9,77,422
Филе куриной грудки запеченное с прованскими травами охлажденное Зелёная Линия,Discounts and promos,33e91211-a4d3-4d6e-9b23-1803c8bd0041,182 g,260,1.9,23.6,0,112
Вода Святой Источник Спортик питьевая негазированная,Discounts and promos,c7a72a2d-a710-4eb5-b378-1934758dc1a4,330 ml,44,0,0,0,0
"Напиток газированный Coca-Cola Classic 0.5л, Азербайджан",Discounts and promos,f8bd2ceb-9d90-444a-b603-16615fd0d867,500 ml,150,0,0,10.6,42
Десерт замороженный Lotte со вкусом Дыни,Discounts and promos,66f7ce53-4624-4046-8d96-d71d6227cb00,80 g,115,6,1,24,59
"Томатный кетчуп PIKADOR классический, 300 г, Россия",Discounts and promos,cac518b4-8c20-475b-9848-bade809fef18,300 g,100,0.4,1.5,16,70
"Черника быстрозамороженная Маркет Перекрёсток, 300г",Discounts and promos,d24dcc55-149b-4293-bddb-7899aef5770b,300 g,240,0,1.1,8.6,38.8
"Нектар Добрый яблоко, малина и черноплодная рябина",Discounts and promos,60f429aa-400f-40eb-b443-64b585d6cf22,1 l,160,0,0,11,44
Напиток Cool Cola Zero газированный,Discounts and promos,06476619-f619-4e43-a359-76fc30708544,1 l,94,0,0,0,0.2
Кофейный напиток MacCoffee 3 в 1 10 шт,Discounts and promos,dec0d742-5487-444b-8f99-cf93fe9e182f,200 g,200,11,2,81,430
Десерт ФрутоНяня из яблок клубники и малины,Discounts and promos,4a280cfc-55d8-4302-b262-c09aa9a68886,90 g,66,0,0,11.5,46
Основа для супа Том Ям Sen Soy Premium,Discounts and promos,79b9bfdc-e329-455f-9c56-fede0810bdaa,80 g,105,8.6,1.47,8.4,116.9
Пюре ФрутоНяня яблоко с 4 месяцев ,Discounts and promos,6a674837-b563-4513-b91c-08abbc66413f,90 g,64,0,0,9,36
Колбаса сырокопченая Велком Велкомовская-Брауншвейгская-Миланская нарезка,Discounts and promos,cee8e187-9936-4cbd-aadc-afe077ffa286,150 g,300,40,20,0,440
Кетчуп Махеевъ шашлычный,Discounts and promos,1b023f3d-e141-4bb4-b4ff-ce9d4cd51e0b,300 g,120,0,1.4,18.6,78
Нектар Добрый Виноград,Discounts and promos,7b3f5edc-cc42-4bde-a22e-bc57942bab83,1 l,160,0.5,0.1,12,48
"Десерт ФрутоНяня Яблоко, банан и клубника с 7 месяцев",Discounts and promos,7c53fa50-e40b-412d-8fa3-dfe170b3e691,90 g,64,0,0,12.5,50
Напиток растительный Planto Миндальный,Discounts and promos,ee27d9e9-16fd-46f8-b998-07ec508af744,1 l,220,1.2,0.4,0.1,12
"Масло сливочное ЭКОМИЛК 82,5%, без змж",Discounts and promos,67783e67-bd8b-4ac4-8a3a-a4d63ff81e67,380 g,420,82.5,0.6,0.8,748
"Семга слабосоленая филе-кусок ""Русское море""",Discounts and promos,bd5e2045-bd51-427c-a7f7-fdbaa78dca95,200 g,700,14.4,17.8,0,201
Йогурт Савушкин Продукт Персик-манго 2%,Discounts and promos,2eb35f48-8cf2-4d51-83cd-a752d7d7022e,120 g,30,2,3,14,88
Палочки рыбные из филе минтая в панировке мороженые Маркет 250 г,Discounts and promos,e61cc981-fc5f-447a-8298-1253bc5492f8,250 g,170,9.5,11,18,200
MAGGI Золотой бульон с Курицей Кубики,Discounts and promos,17e0b60f-ea6e-47d2-972d-f7cba1822d15,72 g,60,7.1,2.3,44,251
Мороженое Коровка из Кореновки пломбир ванильный эскимо в шоколадной глазури 15%,Discounts and promos,42340f95-7e48-4a1b-9db3-90e0cfca6076,70 g,82,20,3,21,274
Печенье BelVita Утреннее Мультизлаковое,Discounts and promos,98cb8767-a579-4d3d-9e57-7af0a1c6fb04,225 g,150,15,8.2,68,454
"Томаты протёртые Маркет Перекрёсток, 200г",Discounts and promos,a3b2f68e-b06a-456b-8db5-c04419cf6cbc,200 g,76,0.1,1.2,4.9,25
"Плита ""Россия Щедрая Душа"" молочный и белый пористый, 75 г",Discounts and promos,a779b2cc-e11f-4562-a0ed-fae617e4cee7,75 g,110,31,5.7,60,542
"Филе куриной грудки гриль с черным перцем и чесноком охлажденное Зелёная Линия, 182г",Discounts and promos,804d3b19-a958-4e3d-8f14-409a9dfb250f,182 g,260,1.9,23.6,0,112
Мороженое 48 Копеек Пломбир,Discounts and promos,6baa39dc-cf1f-45bd-92f3-114489c8422b,419 g,430,12,2.8,24.7,218
"Сосиски С Сыром вареные категории В Маркет, 406г",Discounts and promos,eb5aab5f-b60a-4611-ab35-f232983020a1,406 g,250,26,10,0,274
Бисквитное пирожное в шоколадной глазури Kinder delice,Discounts and promos,e143239d-a17a-4538-ab30-4b9aa5d59262,39 g,90,26,5.5,58.8,177
"Котлеты рыбные из трески атлантической Маркет, 300г",Discounts and promos,1771db44-c991-4923-819a-e49bdd2efeaf,300 g,180,1,8.5,18,120
"Кальмар Гигантский сушено-вяленый полоски Маркет, 70г",Discounts and promos,162c5b0b-2835-4e5d-9701-2da72914f113,70 g,110,1,40,15,230
Напиток Rich Тоник Биттер Лемон,Discounts and promos,0dfb3098-9bae-48b7-9d49-b3a9c6d7df1a,1 l,125,0,0,7.8,31
Напиток Zandukeli Сливки 500 мл,Discounts and promos,babcd410-e6e5-4865-8abd-d25ac877c73d,500 ml,130,0,0,11,45
Рис Увелка Круглозерный 400г,Discounts and promos,319af391-53b8-4c9c-a5e9-67af30904de3,400 g,105,1,8,76,350
